city,team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,season
Milwaukee,Bucks,107.9,16,22.6,27.6,71.8,49.7,47.7,52.8,90.6,89.2,2003
Milwaukee,Bucks,106.3,16,21.8,25.6,69.9,47.7,50,54.3,93.5,91.3,2002
Minnesota,Timberwolves,97.6,17.8,13.9,24.3,74.7,49.8,49.8,54.9,104.3,107.1,2015
Minnesota,Timberwolves,97,16.5,13.7,26.6,71.6,48.4,46.8,51.7,99.8,109.6,2014
Minnesota,Timberwolves,99.8,17.4,12.2,27.4,74.4,50.3,48.6,53.5,105.6,104.1,2013
Minnesota,Timberwolves,95.2,17.2,13.8,27.4,74,49.9,47.3,51.6,100.1,102.9,2012
Minnesota,Timberwolves,96,13.6,24.5,27.5,73,50.2,47.7,52.4,101.5,103.6,2011
Minnesota,Timberwolves,99.2,13.4,26.2,29.6,73.7,51.1,48.3,52.6,101.1,108.3,2010
Minnesota,Timberwolves,98.5,13.5,25.5,26.7,73.6,49.7,47.8,51.8,98.9,109.3,2009
Minnesota,Timberwolves,94.1,14.4,23.4,27.7,75,50.5,48.1,52.6,102.6,109.1,2008
Minnesota,Timberwolves,108.2,14.1,23.9,27.5,73.6,49.8,48.4,51.8,87.4,95.3,2007
Minnesota,Timberwolves,108,15.7,25.8,25.1,72.1,49.2,49,53.7,86.8,91.6,2006
Minnesota,Timberwolves,105.3,15.2,24.9,25.2,71.3,48.9,48,52.4,86.1,88.3,2005
Minnesota,Timberwolves,104.1,16.7,22.5,28.6,71.4,51,48.9,53.4,91.8,92,2004
Minnesota,Timberwolves,104.6,16.7,22.1,26.7,72.5,50.9,48.6,52.8,90.7,84.2,2003
Minnesota,Timberwolves,108.1,17.4,22.8,28.2,72.9,51.1,48.8,52.8,90.4,88,2002
New Jersey,Nets,92.7,14.2,25.1,27.8,70.7,48.6,47.3,51.6,99.7,106.9,2011
New Jersey,Nets,92.4,15,23.6,26.1,74.2,49.4,47.4,51.7,100.2,107,2010
